Заголовок,Краткое содержание,Дата,Источник,URL,Аналитический комментарий,Оценка важности
МЭА созывает экстренное совещание импортеров газа в Азии на фоне рекордных цен на СПГ,"Международное энергетическое агентство инициировало срочные консультации с Японией, Южной Кореей и Индией для координации выпуска стратегических запасов газа и снижения паники на рынке.",2026-03-24,Reuters / IEA,https://www.reuters.com/business/energy/iea-emergency-meeting-asian-lng-crisis-2026-03-24,"Попытка регуляторов успокоить рынок, однако реальные инструменты воздействия ограничены отсутствием свободных мощностей СПГ в мире.",10
Китай ускоряет импорт трубопроводного газа из РФ и Центральной Азии из-за сбоев морских поставок,Пекин задействовал максимальные мощности «Силы Сибири» и газопровода «Центральная Азия — Центр» для компенсации выпавших объемов СПГ из Катара.,2026-03-24,Bloomberg / Xinhua,https://www.bloomberg.com/news/articles/2026-03-24/china-boosts-pipeline-gas-as-lng-routes-blocked,Китай находится в более выгодном положении, чем островные импортеры, благодаря диверсификации маршрутов поставок.,9
Индийская Petronet LNG предупреждает о форс-мажоре: грузы из Катара не прибыли на терминал Дахедж,Крупнейший импортер газа в Индии официально уведомил клиентов о возможных перебоях в поставках из-за задержки танкеров, заблокированных в Персидском заливе.,2026-03-24,The Economic Times,https://economictimes.indiatimes.com/industry/energy/oil-gas/petronet-lng-force-majeure-qatar-cargoes/articleshow/20260324.cms,Для Индии это критический удар по сектору удобрений и электроэнергетике, что может привести к росту цен на продовольствие.,9
Австралийские экспортеры СПГ отдают приоритет внутреннему рынку из-за дефицита в регионе,Правительство Австралии рассматривает возможность активации механизма ограничения экспорта (ADGSM) для обеспечения энергетической безопасности страны на фоне регионального кризиса.,2026-03-24,The Sydney Morning Herald / Argus,https://www.smh.com.au/business/energy/australia-lng-export-curbs-asian-crisis-20260324.html,Сокращение экспорта из Австралии еще больше усугубит дефицит в Азии, толкая цены вверх.,8
Грузы СПГ из США перенаправляются в Азию; перевозчики требуют премии за военный риск в Индийском океане,"Американские трейдеры массово перепродают партии газа азиатским покупателям, готовым платить сверхвысокие премии. Стоимость фрахта и страховки выросла в три раза.",2026-03-24,Lloyd's List / Platts,https://lloydslist.maritimeintelligence.informa.com/LL114567/lng-war-risk-premiums-indian-ocean,Экономика поставок СПГ из Атлантики в Азию становится экстремально дорогой, что ограничивает круг покупателей только самыми богатыми странами.,8
Япония вводит режим ЧС уровня «S» в энергетике; промышленность переходит на мазутную генерацию,Правительство Японии призвало корпорации сократить потребление газа на 20%. Крупные заводы начали расконсервацию мазутных котлов для выработки электроэнергии.,2026-03-24,Nikkei Asia,https://asia.nikkei.com/Economy/Japan-declares-energy-emergency-as-lng-stocks-dwindle,Жесткие меры в Японии указывают на серьезность ситуации и готовность к длительному периоду высоких цен.,9
Спотовые цены JKM взлетели до $45 за млн БТЕ на фоне паники из-за блокады Ормузского пролива,Азиатский маркер цен на газ показал исторический внутридневной рост. Трейдеры опасаются, что блокада может продлиться несколько недель.,2026-03-24,S&P Global Commodity Insights,https://www.spglobal.com/commodityinsights/en/market-insights/latest-news/natural-gas/032426-jkm-prices-surge-45,"Рынок находится в состоянии ""ценового шока"", когда фундаментальные показатели отходят на второй план перед геополитическим риском.",10
Южная Корея ведет переговоры о чрезвычайных своп-поставках с коммунальными компаниями США и Европы,Сеул пытается договориться о временном перехвате партий СПГ, направляющихся в Европу, в обмен на обязательства вернуть газ позже летом.,2026-03-24,Yonhap News Agency,https://en.yna.co.kr/view/AEN20260324005500320,Дипломатические усилия по разделению ресурсов между союзниками становятся ключевым фактором выживания в кризис.,7
Вьетнам и Таиланд приостанавливают тендеры на импорт СПГ из-за «запредельной» волатильности,Развивающиеся страны Юго-Восточной Азии признали текущие цены неподъемными для своих экономик и отменили закупки на апрель-май.,2026-03-24,Energy Intelligence,https://www.energyintel.com/0000018e-789a-d123-abcd-efgh12340000,"""Разрушение спроса"" в ЮВА может привести к веерным отключениям электричества и замедлению экономического роста региона.",8
Аналитики предупреждают о риске глобальной рецессии из-за энергетического шока в Азии,"Эксперты Goldman Sachs и Morgan Stanley пересмотрели прогнозы роста мирового ВВП, указывая на стагфляционные риски из-за взлета стоимости энергии.",2026-03-24,Financial Times / Wall Street Journal,https://www.ft.com/content/energy-shock-asia-recession-risk-2026,"Кризис в АТР перерастает в глобальную экономическую проблему, затрагивающую производственные цепочки по всему миру.",9
